post,is_stress,stress_kind
"i am currently stressed about the holidays coming up, and making sure everyone is happy.",Yes,Other
i am excited about getting a lot of money and i want to spend wisely.,No,Financial Problem
i am feeling stressed out,Yes,Everyday Decision Making
i am feeling stuck in my career.,Yes,Work
I am focusing on paying back a loan.,Yes,Financial Problem
I am frustrated about being laid off after next week.,Yes,Work
"i am frustrated, trying to plan a big meal and no one is cooperating.",Yes,Family Issues
i am going through a custody battle for my daughter.,Yes,Family Issues
i am going through a legal situation at my job.,Yes,Work
i am going to discuss about how she is handling with keeping her kids always busy in som,Yes,Work
i am good,No,Other
i am having 2 birthday parties this weekend and have lots to get done.,Yes,Other
i am having a baby soon. i need to clean out that room.,Yes,Emotional Turmoil
i am having a difficult day today with my mother in law who suffers from dementia.,Yes,Family Issues
I am having a hard time getting to work,Yes,Work
i am having car issues,Yes,Financial Problem
i am having difficulty finding motivation to study,Yes,School
i am having issues at work.,Yes,Work
i am having issues with how my daughter is behaving,Yes,Family Issues
i am having issues with my ex husband.  he is wanting to move from town and take our son,Yes,Family Issues
i am having money issues,Yes,Financial Problem
i am having money problems,Yes,Financial Problem
i am having problems at my apartment because my landlond won't fix anything.,Yes,Financial Problem
i am having roommate issues.,Yes,Emotional Turmoil
i am having some career and money troubles at the moment and i hate it,Yes,Emotional Turmoil
i am having some financial issues lately.,Yes,Financial Problem
I am having some issues with my girlfriend at home not giving me space.,Yes,Family Issues
i am having trouble baking this cake,Yes,Other
I am having trouble finding a job,Yes,Work
i am having trouble making ends meet and have to find a second job.,Yes,Financial Problem
I am having trouble making money with the new virus,Yes,Financial Problem
i am in an emotionally abusive relationship and things keep getting worse.,Yes,Emotional Turmoil
"I am in the last stretch of my professional school career, and things a rough!",Yes,School
I am in the middle of my grad studies and my sponsorship will not continue,Yes,School
i am just frustrated being stuck at home in our small house all day,Yes,Emotional Turmoil
i am just so fed up with the boss and his lack of intelligence,Yes,Work
i am little bit stress in my son study,Yes,Emotional Turmoil
i am lonely and don't know how to solve the problem of getting over my depression.,Yes,Emotional Turmoil
i am moving in two weeks and i'm not prepared.,Yes,Emotional Turmoil
i am nervous about applying to pt school and getting in,Yes,Work
i am not able to get my laptop to start.,Yes,Other
i am not ambitious enough to accomplish my goals.,Yes,Emotional Turmoil
i am not feeling well,Yes,Work
i am not getting any hits in my hit catcher.,Yes,Other
i am not making enough money,Yes,Financial Problem
i am not making enough money i don't have enough clientele,Yes,Work
i am not making enough money to support my family.,Yes,Financial Problem
i am not sure how i feel about my new job.  everyone is nice but i have a lot of doubts,Yes,Work
i am off work due to surgery and i dont have income,Yes,Financial Problem
I am on self-isolation and I am a little anxious / stressed and not working enough.,Yes,Work
"I am out of a job, a car and I am homeless. I don't know what I am going to do!",Yes,Emotional Turmoil
i am out of money and am going to be homeless,Yes,Financial Problem
I am overwhelmed by the preparation of my interview,Yes,School
"I am panicking, I receive zero income during this Coronavirus pandemic. Idk what to do!",Yes,Financial Problem
i am really deciding on whether i should quit my job or not.,Yes,Work
I am really stressed about starting online classes because I won't be motivated,Yes,School
I am really stressed out about the pandemic because I have asthma and my man has Copd,Yes,"Health, Fatigue, or Physical Pain"
I am really upset that I am unable to visit my 95-year-old mother in the nursing home.,Yes,Family Issues
"i am selling my house, but so far there have been no offers.",Yes,Financial Problem
i am so behind on my bills i don't want to lose my apartment.,Yes,Financial Problem
i am so broke!!,Yes,Financial Problem
"i am so ready to buy a home, but i am still a broke college student.",Yes,Financial Problem
I am so scared for my mom,Yes,Family Issues
i am so sick of my job.,Yes,Work
"I am so stressed about my finances or rather, lack thereof.",Yes,Financial Problem
i am so stressed because i have had to work mandatory overtime.,Yes,Work
I am so stressed out and i cannot bear  what i am going through please give me some help,Yes,School
I am so stressed with COVID crapy and my romantic girlfriend's medical diagnosis .,Yes,Other
i am so tired of being so sick,Yes,"Health, Fatigue, or Physical Pain"
i am so unsure of what to make for dinner tonight,Yes,Financial Problem
I am so worried about getting work done at work and I have all this other stuff that is.,Yes,Work
"i am sooooo stressed out. let's go out for dinner and drinks, and let's talk.",Yes,School
"i am sorry busy right now. i will back you soon,",No,Emotional Turmoil
i am starting to regret opening my business. i'm running out of money,Yes,Work
I am stress of coronavirus,Yes,"Health, Fatigue, or Physical Pain"
i am stress out for the deadline from my company's monthly report. any good idea?,Yes,Work
I am stressed about cornovirus,Yes,Financial Problem
I am stressed about finding necessary hygiene items right now with others stockpiling.,Yes,Other
i am stressed about getting my application decisions,Yes,School
I am stressed about meeting a deadline at work.,Yes,Work
i am stressed about money and work,Yes,Financial Problem
i am stressed about money.,Yes,Financial Problem
i am stressed about my wife's death.,Yes,Family Issues
I am stressed about new job which I recently started 2 months ago.,Yes,Work
i am stressed about paying of my credit card after christmas,Yes,Financial Problem
i am stressed about planning the thanksgiving meal,Yes,Other
I am stressed about the economy.,Yes,Other
I am stressed about the pandemic global lockdown,Yes,"Health, Fatigue, or Physical Pain"
I am stressed about the virus effect on the economy,Yes,Financial Problem
i am stressed about this holiday seasons and money.,Yes,Other
i am stressed about whether i should apply for a job or not,Yes,Work
i am stressed at work because i have very little time to breathe!,Yes,Work
i am stressed at work because my hours got cut,Yes,Work
I am stressed because I lost my job because of the virus and I need to pay bills :(,Yes,Financial Problem
I am stressed due to the fact my job had to make pay cuts,Yes,Work
i am stressed out about bills because we have lost income we normally receive. e.,Yes,Financial Problem
i am stressed out about my daughter's health issues.,Yes,Family Issues
I am stressed out about not being able to work during COVID 19 outbreak.,Yes,Other
I am stressed out about the coronavirus.,Yes,Emotional Turmoil
i am stressed out by the rising workload and stagnant pay in my current job.,Yes,Work
"i am stressed out financially, i am worried about paying my bills.",Yes,Financial Problem
I am stressed out from being quarantined for the last 10 days.,Yes,Work
i am stressed out over getting our old house all packed up.,Yes,"Health, Fatigue, or Physical Pain"
i am stressed out over my current electric bill. i am not going to be able to pay it.,Yes,Financial Problem
I am stressed over the stay at home order from the governor.,Yes,"Health, Fatigue, or Physical Pain"
i am stressed trying to find a side dish to make for thanksgiving.,Yes,Everyday Decision Making
I am stressful about no job and need to feed my 4 months old baby.,Yes,Work
I am stressing about my brother and how he is doing. He hasn't been doing well.,Yes,Family Issues
I am stressing about my recovery from my surgery,Yes,"Health, Fatigue, or Physical Pain"
I am stressing about paying my bills and feeding my family,Yes,Everyday Decision Making
i am stressing out about graduate school,Yes,School
I AM STRESSING OUT ABOUT HOW TO HANDLE WORING AT HOME,Yes,Work
i am stressing out because my performance review at work is coming up.,Yes,Work
I am stressing out I an't pay my bills this month.,Yes,Financial Problem
I am stressing over the state of the economy and health of others.,Yes,"Health, Fatigue, or Physical Pain"
i am struggling to find the rest of the money due to pay my electri boill for the month,Yes,Financial Problem
I am struggling with anxiety recently and worried because it consumes a lot of my life.,Yes,"Health, Fatigue, or Physical Pain"
i am struggling with feeling valuable in the workplace.,Yes,Work
i am struggling with my son and his school not following his iep plan.,Yes,School
I am stuck at home because of the coronavirus!,Yes,Other
I am super bugged by being trapped in the house during quarentine!,Yes,Emotional Turmoil
i am taking 18 credits this semester.,Yes,School
i am trying my best and dont seem to be getting ahead.,Yes,Work
i am trying to balance my finances with the hobbies i want to partake in.,Yes,Financial Problem
i am trying to find a new job but having a hard time applying.,Yes,Work
i am trying to get full custody of my child and am undergoing a custody evaluation.,Yes,Social Relationships
i am trying to interact with a person who at times is in a bad mood,Yes,Social Relationships
i am trying to write my thesis,Yes,Work
I am unable to travel to see family,Yes,Family Issues
I am unable to work because of the Covid 19. It is so stressful,Yes,Work
I am under a lot of deadlines at work.,Yes,Work
